,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Acadia,0.0,2597.188046806649,2132.8618990097825,2596.2662426429647,1761.500524437286,2507.5799828998643,2825.064746878231,2675.079411238368,2686.3305794162093,2490.3519694981305,3314.9140270818416,1195.220599200668,3391.1606219677083,906.8366365425912,3131.1021757933663,1912.756688439513,1815.409259922055,1438.8640961783183,2861.380786208542,2890.0294157122403,2652.213572735226,2859.077363198918,2388.1869258530182,1186.4209267875606,2539.2395907897876,1758.8924431321084,1143.9688469339058,1313.2714323351624,3164.121219577666,3423.2594150163045,3309.636100174978,1321.000233635568,2630.3611906466235,3316.4242697645745,997.5940507436569,3277.4068191760116,3439.022048735385,2688.3413365942893,3468.9295762745564,3523.4157520082713,2277.6205708661414,2883.792091684562,3380.7778200310186,795.0246187266364,2237.222619899785,1518.7905755388529,2538.3497872425037,2224.811165294679,2641.3603928060124,3209.7904487791297,2871.3295603674537
Arches,2528.0107919748666,0.0,800.5780616201383,923.4059964805534,2335.8724424361726,193.3824589397916,297.83582627455655,94.01979937166945,159.10184522389247,675.6351656327049,787.6852307524059,1980.4491768074445,935.9185481786366,1695.8484326533046,603.8734416010498,2487.1289171239955,2389.781364332299,1207.547795872107,915.8399944325141,339.80559780879656,505.3138421617752,344.8489570905909,339.2185263063708,1732.0389550027835,750.3945085699513,1224.8838657241708,1393.7859152549113,1666.9658568957288,716.2883137477133,896.0306186868686,907.8417044460351,1495.8799983098702,157.2113855086296,1011.9201364034041,1765.7791000556747,1174.7672343513877,1197.447717827885,329.64406615366255,915.4562355841882,1121.6213562793287,366.8203317625069,625.6548630994989,853.5492101129404,1998.058215024258,980.616512069514,1497.2606850990217,600.5021921975662,715.2834322556272,602.8279224329913,715.5532316272966,344.1007640380179
Badlands,2131.711430247355,801.5084407062753,0.0,1257.3209953869402,2140.1878653662607,711.900376799491,965.4660532490257,879.3996187266364,890.6509733158355,1053.1356875845065,1424.6913649288156,1692.389445637477,1400.1506203769982,1227.3602163365942,1240.879451503221,2291.444402191203,2194.0967872623874,919.4880025650202,808.5204903364352,1125.1854793008827,566.6710784021315,924.9926056828124,684.4129036427264,1443.9792238328162,1102.02355742464,1089.139736439195,926.5239749860813,913.676193529786,1353.2942615127654,1533.0366285890398,1375.5514669331105,1207.820329277022,834.6817709576076,1196.6766583154376,1418.030762844985,1157.6592698639943,1319.2744994233674,1099.7546205161855,1534.8448187584504,1589.331118766404,454.86707627455655,1360.3160666706433,1490.5551578779923,1563.3264236856755,306.86932066730293,795.8926121450727,1008.8370789588799,100.19672611946233,521.6129056311142,1275.70600194862,981.1067739401892
Big Bend,2595.9321313528985,972.0047423049391,1257.4833596794717,0.0,1836.9534418993078,884.6974295116519,1044.278786884594,961.6110663723852,1069.4556291259046,286.8350085500676,1197.9125034796787,1592.0538430565496,1879.135722381293,1709.025416567247,1188.272675077547,1988.20997872425,1890.8623637954345,1166.0409458760835,1850.066735266046,983.335756680983,1387.5506417521672,1276.2954967986955,716.0730086296031,1457.045727948779,279.179529050346,859.5665687385667,1482.9126028990693,1852.0095765728147,989.6245302433787,1390.8209183369122,1677.775416567247,1327.6322526445556,814.914337767438,1967.8061371589913,1691.1825563707944,2130.653235106975,2153.333594309234,781.6476775630318,1400.4742304939152,1847.9371097788912,921.7948431162013,666.3209357353059,1348.3396340372224,1820.2782003101881,1480.1082304342638,1729.9979370476415,420.90802215064025,1214.7750884832576,1428.4149317982979,1422.6717842798057,1100.9671021235981
Biscayne,1760.0634171438796,2336.370782132347,2141.994191422095,1835.1878156565656,0.0,2191.2501615565097,2433.652345303428,2325.976919788435,2519.399705718603,1819.2333646504412,2806.0790607850154,621.0611280124075,3300.3907182056787,1226.0299848882526,2671.2846973673745,168.28390946870277,70.93635667700627,1222.8925574644077,2937.3999592380496,2372.7093150998166,2561.4433582876004,2705.14694185954,2028.2542452079852,857.618383639545,1887.0995262666029,1173.0418108247832,1338.835885926191,2086.265894675097,2597.791273960073,2922.592683727034,3218.8661964129483,989.0160835719398,2228.0937450290303,3281.2388153185393,964.8559288753678,3286.539111588324,3448.154030462101,2171.0212359818656,2942.0183006243537,3432.6458482462417,2137.0756034757014,2274.487617314881,2880.111399427344,1017.6519128290781,2351.698456016861,1985.476256164002,2029.0747658673345,2181.6490445796544,2585.727352262785,2903.1602317465995,2490.340660542432
Black Canyon of the Gunnison,2439.124574982104,193.96984112781357,711.6917824902567,885.1033713115405,2190.8476372981786,0.0,421.84635478803784,271.8611434224131,283.1124358744929,637.3324783265728,911.6958835401256,1848.0408787679949,1059.9290766921179,1606.9620913863037,727.8840322516503,2342.1042983973593,2244.7565591943053,1074.565661536626,1039.8505850831145,439.98169440467666,558.3169291338583,468.8595477411914,203.9887680943291,1599.0568206673029,712.8078894257536,1074.4011224449216,1304.8996982621488,1578.0796399029666,840.2989043983138,1020.0411472003499,1031.8522950966355,1362.8978639743896,181.18966485723374,1135.9307270540046,1632.7969657201938,1298.7778250019883,1321.4583084784856,366.4157569792412,1039.466888371908,1245.6319469299292,320.61436212518885,624.9584924043585,977.5598007635408,1865.0760806887774,891.7301708025133,1408.3743438320207,562.9155730533683,626.3971531257456,726.838575220711,839.5637601407777,468.1113546886184
Bryce Canyon,2755.7529651833293,297.4925808279647,965.002075379782,1044.4206459277818,2433.216453412073,421.1246942853734,0.0,375.3838831225642,127.5681271375169,772.9791144714865,606.1935173586256,2095.8676330231447,920.0105136005725,1923.590605861767,422.3816660701503,2584.4729280998963,2487.1253753081996,1435.2899690805693,966.5966381333014,214.9652902052016,556.0704237254433,220.13211594289348,602.5203436928338,1959.7813146226038,822.6619044778492,1322.227752425833,1621.5280884633737,1894.7080301041913,534.7965382168137,714.5388431559691,739.9313012009861,1723.622482203929,324.34277568997055,1062.6767801041915,1993.5214596754947,1225.5238780521752,1248.2042993915534,318.36630328879346,733.9645221904079,953.7109530342798,594.5625671080887,500.8145554959039,672.0574345820409,2225.8003882327207,1131.2944901773642,1650.5482979400301,672.7696502425833,879.7074460152706,653.584628270898,596.3611881611389,125.51965272806807
Canyonlands,2605.917380000795,94.02551598663803,878.4847117831862,913.017975025849,2325.4844831185874,271.2891712399586,375.74247643760435,0.0,237.00855752405946,665.2471441780004,865.5920051896921,1988.1358491410163,1013.8251983416844,1773.7550206792332,681.7801539012169,2476.740833532172,2379.393405014714,1285.4545081722738,993.7467067326811,329.41751421697285,583.220492324823,422.755669390758,328.83050485166626,1802.9190775868924,740.0064871152468,1214.495782132347,1471.6926896921973,1744.8724449216575,687.4456300206792,973.9372688499164,985.7484167462021,1573.786897021395,146.82330191680586,1089.8268487035712,1843.685874492961,1252.6739466515548,1275.3543679909328,319.2560446989581,993.3630100214746,1199.5280685794958,444.727044062674,615.2668416447943,931.4559224131074,2075.9648030501867,1058.523224369681,1575.1672731249503,590.1141707428616,793.1901445557942,680.7346968702775,793.4598817903443,422.0074763381849
Capitol Reef,2617.0091664678275,158.74884424958242,889.5766225244571,1019.4669380816033,2517.246157440547,282.3809577069911,127.5681271375169,236.64014654418196,0.0,771.6961072337548,670.526935198441,2069.4477377117632,932.6110514594766,1784.8468071462657,486.71514604708494,2668.5028185397277,2571.1550793366737,1296.5462946393063,912.5325598504731,405.0219841127813,502.0063454426151,275.8441949017736,463.77660711445156,1821.0375159071023,847.8637879782073,1383.5988452437762,1482.7844761592298,1755.9644178000474,599.1300181937485,778.8723231329038,781.7503902211087,1584.8786834884274,299.8317326811421,1008.6127018213632,1854.7776609599935,1171.459799769347,1194.140221108725,382.65585232243694,798.2979400302235,995.5300420544022,455.81883052970653,690.8712494034836,736.3909145589755,2087.0565895172194,1077.2304118945358,1586.2590595919826,697.9715337429412,804.2819931599458,599.5204257138312,638.1802150441422,226.9424684840531
Carlsbad Caverns,2493.696499940348,675.4566456891753,1052.3350508033086,286.84283782708974,1818.1181276346138,636.9628246043108,772.7383331344945,665.0629076195021,771.5015559134653,0.0,1016.702333373101,1519.6822431997136,1697.9255522747153,1595.096200687982,1010.370685198441,1969.3744780481984,1872.0269252565017,1052.1116678596993,1602.3320682215858,711.7953029308836,1139.8159747077068,1004.7550430485961,468.3383415851427,1384.674128091943,63.77424590392109,787.1950310188499,1368.9834491569234,1738.0805471049073,808.4143601368011,1209.6107482303348,1496.5652464606694,1255.2608391990773,567.179732860097,1671.2579784061081,1618.8110186510773,1834.105076354092,1856.7854355563506,510.1072859500516,1219.2640603873378,1666.7269396723136,674.0602382088603,485.1108899029667,1167.129463930645,1747.9066004533522,1232.3735633898034,1616.0687211683764,188.84352879185556,967.0404835759166,1180.6803268909568,1241.4616141732283,829.4266483734988
Channel Islands,3245.9443102282667,787.683863735783,1424.5388183011214,1196.8384633738963,2806.8781441382325,911.3159150560725,606.2500621371192,865.5750417561441,670.5550833134495,1018.4130925395689,0.0,2475.9911491887374,761.5689374055514,2413.7816402211083,347.02512328004457,2958.134494551817,2860.786755348763,1887.7541408176248,1426.1335674659983,555.1388018969219,1015.6072909210211,650.9801509186351,1007.9599513839179,2290.7743776346138,975.0796597868448,1702.3512685914259,2111.7193092340726,2330.586872663644,225.10681370794558,273.25419549828996,560.2086937286248,2161.361088741748,825.9527484490575,1129.8701831305177,2446.2136746401015,1266.8194618428377,1222.3215794758607,644.7828431957369,243.62541507595637,677.4145241787958,1084.7537878787878,584.1579550425514,230.77284906148094,2654.006849996023,1590.831419510061,2110.084916587131,877.4454063270499,1339.244126799491,1113.1214333293565,360.2535567287043,487.6333462578541
Congaree,1194.3294907738805,1980.9282539966594,1686.7161402409924,1592.4114421776821,621.2282768631193,1848.58395719001,2096.0493840968743,1988.3738343076432,2070.070973017577,1519.8940065020279,2476.644210311779,0.0,2851.0616748190564,617.2841853575121,2333.6816118865822,772.484627276704,675.1370744850075,773.5638247633818,2420.9295837310106,2035.1062296190248,2112.114625586574,2255.8180848842753,1685.5880408414855,263.792824902569,1568.7817520679232,805.6664081762506,791.5235027439752,1503.61886582359,2309.1983441700468,2584.9895982462417,2769.537153026326,487.1235733317426,1890.4907838224765,2831.9097719319175,356.1101914817466,2831.2610604072215,2992.8759792809988,1833.4181505010736,2604.4152151435615,2983.3168048596194,1687.7468707746757,1990.6031898711522,2542.508313946552,433.3516637835043,1796.7712310108961,1430.549031158037,1625.8021902091782,1732.3203118786284,2136.398619561759,2565.5571462658077,2152.7376993358785
Crater Lake,3322.3089656406582,936.0878096914022,1399.2432941620932,1881.189789131472,3302.2256273363555,1059.7198610116916,922.4405099220552,1013.9790498488825,932.7281799292133,1702.7642940229061,763.227377117633,2854.427021196214,0.0,2490.1466063190965,782.0071407977412,3453.4822884355362,3356.134549232482,2081.525764535115,801.970803010419,1048.0499507874015,846.7446984609877,735.7566809830589,1241.115510419152,2606.0169858029108,1659.4309855444203,2200.7156332020995,2188.0842753320603,2145.2824877714147,909.4581394655213,627.3359207229778,263.72360415175376,2369.8581533842357,1077.1706359858426,408.6760816829714,2639.7572551300404,545.6253603952915,501.1275401654338,1137.6939920862164,529.5728570150321,229.5205375606458,1251.0987706792332,1268.5092808001273,628.501053845542,2826.113000079535,1330.444889346218,1911.8566322675574,1561.7966078103873,1371.1210903324584,891.5841485723375,510.52366678596985,903.4621560089079
Cuyahoga Valley,909.2645823391393,1696.110961982025,1231.7848141851587,1707.4673283027118,1229.7857387854926,1606.5027116638828,1923.9873513680106,1774.0020157281474,1785.253494591585,1594.3884589000238,2413.8369422572177,621.2645028036268,2490.083537143084,0.0,2230.0250909687425,1381.0422134733158,1283.6945364073808,542.9007098544499,1960.3037013839178,1994.066091525491,1751.136487910602,1957.9999676886978,1492.2235395291495,526.415048616082,1643.2763908772765,904.1018576513162,311.4939379026485,935.5668520838303,2268.1578953909166,2522.182019506084,2408.5590153503535,425.03684731169966,1729.2841058219994,2415.347060665712,282.2357432593653,2376.329610077149,2537.9448396365224,1792.3780124075397,2567.852180764336,2622.3386671836474,1376.5433617672788,1987.8287674978126,2479.7007352063943,340.8797621888173,1336.1453486638034,969.9232109480633,1642.3862766443965,1323.7340804700548,1740.2831837071499,2308.7133639545054,1970.2524755428296
Death Valley,3062.186828919112,603.9265688379861,1240.7815855404438,1188.0121962737612,2670.3106980235425,727.5587444325141,422.4928293764416,681.8178711325857,486.7977884156525,1010.0735454943132,346.6349021713195,2332.962064045971,779.690855404438,2230.0244695975503,0.0,2821.5673591227232,2724.2196199196687,1741.7239570905908,1242.3762725682016,412.1097167541557,831.8500581603435,467.2229181579575,908.9543938399745,2147.7452924918475,966.253516960948,1559.3221834486596,1927.9621386105143,2146.8297020400855,350.93994820249736,454.98016583154373,599.6115808677324,2018.3320035989818,661.2073615087887,1125.0503932036904,2299.9553234112777,1287.8976154259126,1234.2716038336116,501.7537580529706,474.4059070031019,813.3912948381451,900.9965551181101,575.3316879424162,412.4988193947347,2510.9777648532568,1407.074124612264,1926.3277459635726,868.6191392269147,1155.4869561759324,929.3641384315597,367.9713597590074,303.8760513600572
