,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Acadia,0.0,2157.15,1695.46,2181.24,1450.74,2068.75,2318.36,2188.59,2249.88,2120.18,2792.54,991.98,2653.81,710.35,2589.01,1590.54,1493.67,1202.5,2169.15,2363.31,2097.36,2381.82,1983.41,1006.36,2150.73,1484.06,970.36,1005.56,2625.97,2656.37,2690.55,1057.8,2147.49,2550.53,797.07,2492.78,2608.06,2278.89,2794.95,2787.31,1914.96,2414.29,2674.61,661.42,1701.63,1206.93,2181.65,1746.12,2066.95,2670.84,2369.52
Arches,2157.15,0.0,507.71,743.93,1935.5,100.39,161.49,38.44,92.9,533.83,636.29,1636.24,718.74,1491.56,432.46,1836.81,1905.36,1046.26,732.68,229.44,354.33,256.02,230.45,1446.7,536.21,960.89,1205.84,1235.94,488.32,508.38,648.95,1282.78,119.09,835.94,1541.26,902.32,948.19,249.21,653.48,785.81,243.9,446.37,523.43,1681.54,650.78,1073.43,449.34,463.26,411.38,542.96,212.44
Badlands,1695.46,507.71,0.0,1000.69,1773.64,449.11,662.95,545.15,592.94,805.6,1129.32,1353.56,986.78,1081.06,917.65,1723.06,1757.91,731.46,650.89,736.46,415.28,695.28,444.34,1150.02,826.03,813.74,798.43,735.03,995.4,971.93,999.97,973.5,552.06,959.66,1183.79,956.36,1050.68,713.71,1104.96,1107.43,280.2,904.32,992.49,1305.05,227.12,565.95,782.29,50.67,401.67,978.24,710.79
Big Bend,2181.24,743.93,1000.69,0.0,1442.21,691.57,770.68,726.45,766.45,213.25,1006.68,1359.46,1409.35,1472.92,924.08,1295.27,1397.2,988.48,1463.99,698.51,1082.13,921.07,598.76,1231.46,207.72,700.1,1247.37,1518.01,808.7,1027.44,1290.38,1131.28,624.86,1570.14,1410.05,1644.55,1682.93,554.07,1152.08,1431.22,779.86,478.15,1023.09,1561.02,1222.24,1437.67,298.56,987.48,1130.87,1106.15,792.57
Biscayne,1450.74,1935.5,1773.64,1442.21,0.0,1838.74,2050.05,1943.69,2008.24,1538.97,2416.1,561.55,2647.17,1077.76,2284.44,188.38,57.76,1071.29,2424.46,2024.53,2127.46,2185.89,1705.56,720.69,1560.75,986.45,1172.84,1615.28,2213.24,2385.11,2583.23,869.84,1847.31,2702.44,857.76,2720.47,2804.16,1880.41,2526.73,2721.22,1784.99,1890.98,2389.02,893.21,1949.79,1721.73,1646.03,1805.79,2140.97,2446.83,2092.17
Black Canyon of the Gunnison,2068.75,100.39,449.11,691.57,1838.74,0.0,252.74,122.66,189.02,478.42,724.06,1535.86,811.24,1397.31,525.51,1742.89,1809.38,947.44,772.51,298.66,390.57,356.35,133.58,1346.53,485.87,861.74,1112.49,1163.59,563.25,605.62,747.71,1183.09,104.7,912.35,1442.9,969.79,1023.54,266.98,751.42,883.51,170.36,463.02,619.59,1584.0,618.91,1009.38,408.57,409.84,440.3,642.75,303.99
Bryce Canyon,2318.36,161.49,662.95,770.68,2050.05,252.74,0.0,130.43,70.25,575.75,474.8,1777.2,641.37,1649.98,272.79,1941.37,2016.98,1197.87,780.6,104.15,431.17,150.81,365.84,1591.52,569.44,1089.77,1364.93,1394.77,334.15,355.38,540.55,1430.97,204.84,805.79,1693.82,892.01,918.16,218.26,501.97,681.94,405.27,378.92,367.92,1835.81,787.07,1228.7,473.88,616.58,492.95,401.42,51.34
Canyonlands,2188.59,38.44,545.15,726.45,1943.69,122.66,130.43,0.0,67.49,518.74,604.02,1654.41,718.07,1519.61,403.18,1841.69,1912.56,1069.59,759.53,191.48,384.3,242.59,243.49,1466.6,519.09,973.65,1234.49,1271.94,451.84,483.17,639.55,1304.31,105.72,847.13,1565.24,918.11,959.74,215.99,629.2,778.2,278.15,411.44,496.95,1706.59,689.12,1110.63,429.51,501.08,442.66,522.58,181.77
Capitol Reef,2249.88,92.9,592.94,766.45,2008.24,189.02,70.25,67.49,0.0,563.46,544.2,1721.89,660.83,1584.17,339.57,1904.33,1976.58,1136.44,745.33,156.99,382.09,177.77,310.7,1534.06,560.87,1040.25,1298.58,1324.52,403.21,416.7,575.55,1371.59,162.85,803.7,1631.92,881.46,916.48,229.22,562.41,715.14,335.77,411.92,431.14,1772.86,721.33,1158.79,467.9,546.81,443.03,455.09,120.21
Carlsbad Caverns,2120.18,533.83,805.6,213.25,1538.97,478.42,575.75,518.74,563.46,0.0,877.38,1375.76,1217.11,1410.53,761.71,1409.04,1499.1,917.87,1250.76,516.21,868.97,726.41,388.05,1223.02,30.55,677.89,1160.32,1378.35,674.54,865.18,1108.83,1097.88,415.17,1365.42,1379.91,1435.98,1478.13,366.99,999.68,1250.62,571.0,355.0,864.82,1531.47,1022.39,1278.11,109.44,787.98,917.63,937.63,603.8
